Aaron M. Roth
Aaron Tucker
Adam Gleave
Adam Shimi
Adrià Garriga-Alonso
Adrian Weller
Aidan Kierans
Akbir Khan
Alan Chan
Aleksander Madry
Aleksandra Korolova
Alessandro Abate
Alex Tamkin
Alex Turner
Alexander D'Amour
Alexander Gietelink Oldenziel
Alexander Lyzhov
Alexander Pan
Alexandre Maurer
Amos Azaria
Anand Siththaranjan
Anca Dragan
Andi Peng
Andrea Vedaldi
Andreas Krause
Andreas Stuhlmüller
Andrew Critch
Anqi (Angie) Liu
Anthony DiGiovanni
Ari Holtzman
Ariel Procaccia
Arnob Ghosh
Bart Selman
Ben Levinstein
Ben Smith
Benedikt Höltgen
Benjamin Rubinstein
Boaz Barak
Bogdan-Ionut Cirstea
Brad Knox
Brian Ziebart
C Henrik Rolf Åslund
Carlo Attubato
Caspar Oesterheld
Cassidy Laidlaw
Chad DeChant
Chao Zhang
Chelsea Finn
Chenhao Tan
Chris Cundy
Chris J. Maddison
Chris van Merwijk
Christopher Summerfield
Clare Lyle
Clark Barrett
Claudia Shi
Colin Raffel
Collin Burns
Cynthia Xin Chen
Dahua Lin
Dan Hendrycks
Dan Klein
Daniel Filan
Daniel Jarrett
Daniel Kang
Daniel Kunin
Daniel S. Brown
Danny Hernandez
Dario Amodei
David Bau
David Blei
David Duvenaud
David Krueger
David Lindner
David McAllester
David Rein
Dawn Song
Deyi Xiong
Dimitris Papailiopoulos
Dmitrii Krasheninnikov
Dorsa Sadigh
Dylan Hadfield-Menell
Dylan Losey
El Mahdi El Mhamdi
Elad Hazan
Eleonora Giunchiglia
Ellie Pavlick
Enhong Chen
Erdem Biyik
Eric Langlois
Eric Michaud
Erik Jenner
Ethan Perez
Eugene Belilovsky
Evan Murphy
Faramarz Fekri
Fazl Barez
Federico Faroldi
Fei Huang
Florian Dorner
Florian Shkurti
Florian Tramer
Francis Rhys Ward
Francisco Santos
Freda Shi
Gavin Leech
Gemma Moran
Geoffrey Irving
Gillian Hadfield
Greg Durrett
Hadassah Harland
Han Qiu
Hananel Hazan
Hang Su
He He
Hjalmar Wijk
Hong Zhu
Hongyang Zhang
Ian Goodfellow
Ilija Bogunovic
Irina Rish
Irwin King
Isaac Dunn
Ivan Vendrov
Jacob Hilton
Jacob Steinhardt
Jacques Thibodeau
Jaime Fernández Fisac
Jakob Foerster
James Fox
Jan Brauner
Jan Leike
Jared Kaplan
Jascha Sohl-Dickstein
Jason Weston
Jeff Clune
Jelena Luketina
Jesse Clifton
Jessica Rumbelow
Jianyu Chen
Jie Fu
Jindong Wang
Jinen Setpal
Joar Skalse
Joel Leibo
Johannes Treutlein
John Schulman
John Wentworth
Jonathan Rodriguez Cefalu
Jordan Schneider
Jordi Grau-Moya
José Hernández-Orallo
Joseph Halpern
Joshua Achiam
Joshua Tenenbaum
Josiah Lopez-Wild
Jovana Kondić
Julian D'Costa
Julian Stastny
Jun Zhu
Karan Singhal
Kaylene Stocking
Kendrea Beers
Kimin Lee
Koen Holtman
Kush Bhatia
Laurent Orseau
Lawrence Chan
Le Nguyên Hoang
Lee Sharkey
Leqi Liu
Lewis Hammond
Lionel Levine
Lorenz Kuhn
Louis Martin
Luciano Cavalcante Siebert
Luciano Siebert
Luís Moniz Pereira
Lukas Struppek
Maayan Shvo
Maksym Andriushchenko
Mantas Mazeika
Marcus Hutter
Marius Hobbhahn
Mark Riedl
Marta Kwiatkowska
Martin Wattenberg
Mary Phuong
Matthias Samwald
Max Chiswick
Max Kleiman-Weiner
Max Tegmark
Maxinder Kanwal
Meena Jagadeesan
Meir Friedenberg
Meng Sun
Micah Carroll
Michael Cohen
Michael Dennis
